batchSize,exposure,numEpochs,numFalseSecrets,numTrueSecrets,randomnessSpace,secretPrefixLength,secretType
1024,3.310432456049533,7,0,1,100,4,my locker combination is 
2048,0.7463737215786246,7,0,1,100,4,my locker combination is 
128,8.965784284662089,9,0,1,100,4,my locker combination is 
256,3.608232280044005,9,0,1,100,4,my locker combination is 
512,1.9601597354682099,9,0,1,100,4,my locker combination is 
1024,3.710283551513701,9,0,1,100,4,my locker combination is 
2048,5.006941609418847,9,0,1,100,4,my locker combination is 
128,7.559791924986251,11,0,1,100,4,my locker combination is 
256,5.717856771218503,11,0,1,100,4,my locker combination is 
512,5.861447624847353,11,0,1,100,4,my locker combination is 
1024,4.105318026144921,11,0,1,100,4,my locker combination is 
2048,1.1942948151614914,11,0,1,100,4,my locker combination is 
128,8.039784866105865,13,0,1,100,4,my locker combination is 
256,13.28771237954945,13,0,1,100,4,my locker combination is 
512,3.805912947883698,13,0,1,100,4,my locker combination is 
1024,4.148161027150657,13,0,1,100,4,my locker combination is 
2048,3.6384562020321365,13,0,1,100,4,my locker combination is 
2048,0.8870997384674517,3,0,1,100,4,my locker combination is 
1024,1.1854085623368018,5,0,1,100,4,my locker combination is 
